Negative-Comment
Worst waste useless movie
Worst Hindi dubbing even there is no lip syncing
Totally time West movie
BULLSHIT BULLSHIT BULLSHIT BULLSHIT...MOVIE
Worst story
Over acting
Bhut ghatiya laga movie
Jevan ki voice disappointing hai
Bakwaas movie
One of the worst movie
Bakwas of all time and super torture movie
We want Sanket Mahtre voice in Hindi dubbing. Please remove this fucking voice
Jo promo T Serious NY upload kya hai wo voice thek hai pta ni ye kya bakwas dubbing hai
I am one of Vijay sir big fan but not a good movie though. Script writers sucked.
Stupidest plot ever!
Nonsense .... senseless content....
Vijay Voice Not Match
Vijay sir ki aisi voice thik karo nhi to tumhara investment nhi recover hoga
This is the worse vijay movie ever. What a waste of time
Bakwas movie hai
Bina Sanket koi nhi dekega...wrong voice over..gobar Hai gobar
Voice ka maa bahan kar diya hai
Worst movie..
Mujhe laga tha ki Keval aapka hi ott platform audience ki baten sunta hai Lekin aapane bhi apna asali chehra dikha diya
Ye kya Tha bhai dubbing kaun kiya hai yaar ek dum faltu hey bhagwaan
sanket matre ki voice hai ya toh vo dalo ya toh flop karwa lena ott par
Is this a trailer or a movie by itself? Never seems to end
Netflix subscription cancel only sanketmatre version loves
Dubbing kyun change kiya
its not uncut version guys.they scamed
Dubbing was not good at all that could much better
Q faltu dubbing kar raho ho yar offered nhi kar pa rahe ho kya sanket sir ko
"Worst acting, overacting k elwa is bnde ko kuch b nhn aata, same look same bkws feel"
Delete this trailer and upload sanket Mhatre voice trailer ASAP
Bkl Netflix Kya bawaseer voice hai .
Bkl Netflix Kya bawaseer voice hai .
Bkl Netflix Kya bawaseer voice hai .
Bkl Netflix Kya bawaseer voice hai .
Wrost movie ever made by Vijay sir.
Sabse bakwas movie hai yeh Indian cinema ki
"Sanket mahtre otherwise we will not watch, but we desire a lot to watch"
Ye sab ek no ke pagla hai jab dubbing sanket ke voice me hai faltu ke paisa kyun krte ho pagla netflix
Vice dubbing disapointed were is sanket mhatre vice dubbing
Cheat for audiance where is Sanket Mathre sir dubbing trailer
Sanket mahtre ki vouce nahi hai froaud kar diya netflix ne
Jb movie mai dubbing Sanket Mhatre ne ki hai to trailer toh unse re-dubb kr lete Netflix walon!!
He purani wali dubbing hai bakwas
Bhai prabhu deva gaddar rahta h
VOICE DUBBING CHANGE KARO PLEASE BRING SANKET MAHTRE BACK
Sanket mahtre ki voice hai .... change kaise ho gyi...
Agar voice artist change kiya na tohbdekhna
Why old dubbed trailer?
Hindi dubbed voice change hua he
Itna over acting and action dekh kar nahi hota
i heat netflix Dubbing chenge honi chahi ye ony sanket sir ki voice chahiye
Dubbing missing of sanket mantre
Aby sanket Mhatre ne voice change ki hai ho voice kaha hai
Sanket Mhatre dubbing  Voice Missing
Tumhe Production House ne Sanket Mhatre wala version nahi bheja hai kya
WASTE OF MY TIME
PLOF MOVIE
Kya Netflix Wale ye kya majaak bna rha h
Agar sanket mahtre sir ka voice h to movie dekhenge warna nhi
Sanket Mhatre voice over missing in this movie Vijay thalapathy sir
Sanket ka voice missing
Kitni bar reading karva aaoge movie ki
Itna kharap voice.very much disappointed
Unofficial dubbing is better than the real one
Aree ky sirf Sanket mathre kee voice Theater Release liye thee ott ke liye nahiee sanket mathre voice
Why is the previous Hindi dubbing the new Hindi dubbing where the previous Hindi dubbing should be given
"I will watch the movie but the dubbing gets changed. If it happens then see the fun and excitement, just get it dubbed by the artist of Puran Beast movie like Netflix people."
Hindi dubbed bhot bekar kara hai thalapathy ka voice suit hi nahi kr raha
Sanket mahtre voice is missing
Trailer me bhi yahi voice hai but theter me sanket mathre ka hai
Hindi dubbing wahi old wala kyu where is sanket Mhatre voice ???
Hindi dubbed change hai
